+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  00 | cycles                                    | 16.304.338.588  |
|  00 | instructions                              | 39.840.457.281  |
|  00 | fp_comp_ops_exe.sse_scalar_double         | 2.154.465       |
|  00 | fp_comp_ops_exe.x87                       | 2.390.395       |
|  00 | simd_fp_256.packed_double                 | 25.243.593.017  |
|  00 | simd_fp_256.packed_single                 | 44.657          |
+-----+-------------------------------------------+-----------------+
+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  04 | cycles                                    | 16.304.346.065  |
|  04 | instructions                              | 39.840.457.703  |
|  04 | fp_comp_ops_exe.sse_scalar_double         | 2.154.465       |
|  04 | fp_comp_ops_exe.x87                       | 2.390.395       |
|  04 | simd_fp_256.packed_double                 | 25.243.593.017  |
|  04 | simd_fp_256.packed_single                 | 44.657          |
+-----+-------------------------------------------+-----------------+
