+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  00 | cycles                                    | 91.777.901      |
|  00 | instructions                              | 103.331.827     |
|  00 | fp_comp_ops_exe.sse_scalar_double         | 31.467          |
|  00 | fp_comp_ops_exe.x87                       | 11.993          |
|  00 | simd_fp_256.packed_double                 | 61.226.665      |
+-----+-------------------------------------------+-----------------+
+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  01 | cycles                                    | 91.797.883      |
|  01 | instructions                              | 103.332.849     |
|  01 | fp_comp_ops_exe.sse_scalar_double         | 31.467          |
|  01 | fp_comp_ops_exe.x87                       | 11.993          |
|  01 | simd_fp_256.packed_double                 | 61.226.665      |
+-----+-------------------------------------------+-----------------+
+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  02 | cycles                                    | 91.813.907      |
|  02 | instructions                              | 103.333.966     |
|  02 | fp_comp_ops_exe.sse_scalar_double         | 31.467          |
|  02 | fp_comp_ops_exe.x87                       | 11.993          |
|  02 | simd_fp_256.packed_double                 | 61.226.665      |
+-----+-------------------------------------------+-----------------+
+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  03 | cycles                                    | 91.830.838      |
|  03 | instructions                              | 103.335.110     |
|  03 | fp_comp_ops_exe.sse_scalar_double         | 31.467          |
|  03 | fp_comp_ops_exe.x87                       | 11.993          |
|  03 | simd_fp_256.packed_double                 | 61.226.665      |
+-----+-------------------------------------------+-----------------+
+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  04 | cycles                                    | 91.844.001      |
|  04 | instructions                              | 103.336.199     |
|  04 | fp_comp_ops_exe.sse_scalar_double         | 31.467          |
|  04 | fp_comp_ops_exe.x87                       | 11.993          |
|  04 | simd_fp_256.packed_double                 | 61.226.665      |
+-----+-------------------------------------------+-----------------+
+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  05 | cycles                                    | 91.857.713      |
|  05 | instructions                              | 103.337.262     |
|  05 | fp_comp_ops_exe.sse_scalar_double         | 31.467          |
|  05 | fp_comp_ops_exe.x87                       | 11.993          |
|  05 | simd_fp_256.packed_double                 | 61.226.665      |
+-----+-------------------------------------------+-----------------+
+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  06 | cycles                                    | 91.871.241      |
|  06 | instructions                              | 103.338.351     |
|  06 | fp_comp_ops_exe.sse_scalar_double         | 31.467          |
|  06 | fp_comp_ops_exe.x87                       | 11.993          |
|  06 | simd_fp_256.packed_double                 | 61.226.665      |
+-----+-------------------------------------------+-----------------+
+-----+-------------------------------------------+-----------------+
| CPU | Event                                     | Value           |
+=====+===========================================+=================+
|  07 | cycles                                    | 91.884.560      |
|  07 | instructions                              | 103.339.339     |
|  07 | fp_comp_ops_exe.sse_scalar_double         | 31.467          |
|  07 | fp_comp_ops_exe.x87                       | 11.993          |
|  07 | simd_fp_256.packed_double                 | 61.226.665      |
+-----+-------------------------------------------+-----------------+
